Latitude (deg), Longitude (deg), Altitude (m), Distance horizontal (m), Velocity forward (m/s), Velocity lateral (m/s), Velocity down (m/s), Speed horizontal (m/s), Heading (deg), Pitch (deg), Roll (deg), Slip angle (deg), Angular rate forward (deg/s), Angular rate lateral (deg/s), Angular rate down (deg/s), Angular rate Xv (deg/s), Angular rate Yv (deg/s), Angular rate Zv (deg/s), Acceleration forward (m/s²), Acceleration lateral (m/s²), Acceleration down (m/s²), Acceleration Xv (m/s²), Acceleration Yv (m/s²), Acceleration Zv (m/s²)
42.24209946, -83.56574881, 185.918, 2840.735, 4.89, 0.01, -0.14, 4.89, 151.366, 2.472, 1.637, 0.137, -0.26, -0.39, -0.50, -0.24, -0.41, -0.50, 0.085, 0.053, -9.774, 0.507, -0.226, -9.759
42.24209181, -83.56574340, 185.946, 2841.715, 4.91, 0.02, -0.14, 4.91, 151.286, 2.525, 1.646, 0.185, 0.81, 0.13, -0.61, 0.84, 0.11, -0.58, 0.089, -0.017, -10.171, 0.537, -0.309, -10.153
42.24208409, -83.56573792, 185.974, 2842.698, 4.92, 0.01, -0.14, 4.92, 151.194, 2.574, 1.683, 0.174, 1.00, 0.35, -0.55, 1.02, 0.34, -0.51, -0.039, 0.010, -9.748, 0.399, -0.276, -9.736
42.24207635, -83.56573239, 185.997, 2843.684, 4.94, 0.01, -0.15, 4.94, 151.122, 2.689, 1.708, 0.106, 0.35, 0.11, 0.03, 0.35, 0.11, 0.04, 0.122, -0.052, -9.880, 0.585, -0.346, -9.857
42.24206858, -83.56572679, 186.020, 2844.673, 4.95, 0.01, -0.15, 4.95, 151.039, 2.761, 1.736, 0.161, -0.10, 0.03, -0.39, -0.08, 0.01, -0.39, 0.063, -0.061, -9.822, 0.536, -0.359, -9.801
42.24206080, -83.56572110, 186.037, 2845.665, 4.97, 0.01, -0.15, 4.97, 150.957, 2.825, 1.762, 0.127, 0.09, 0.31, -0.25, 0.10, 0.30, -0.25, 0.010, -0.040, -9.853, 0.495, -0.342, -9.835
42.24205299, -83.56571536, 186.058, 2846.660, 4.98, 0.02, -0.17, 4.98, 150.875, 2.860, 1.849, 0.203, 0.47, -0.42, -0.08, 0.47, -0.43, -0.05, 0.096, -0.085, -10.151, 0.602, -0.412, -10.125
42.24204518, -83.56570956, 186.080, 2847.657, 4.99, 0.00, -0.17, 4.99, 150.844, 2.875, 1.873, -0.043, -0.38, 0.98, 0.21, -0.39, 0.98, 0.16, 0.034, -0.094, -9.938, 0.532, -0.418, -9.916
42.24203731, -83.56570372, 186.111, 2848.655, 5.00, 0.01, -0.16, 5.00, 150.847, 2.901, 1.920, 0.149, 0.51, 0.63, 0.45, 0.48, 0.65, 0.46, 0.095, -0.084, -10.014, 0.602, -0.418, -9.988
42.24202943, -83.56569786, 186.140, 2849.657, 5.01, 0.00, -0.16, 5.01, 150.864, 2.945, 2.022, -0.006, 0.50, 0.85, -0.53, 0.53, 0.83, -0.53, -0.072, -0.052, -9.639, 0.423, -0.392, -9.622
42.24202154, -83.56569194, 186.170, 2850.660, 5.02, 0.00, -0.17, 5.02, 150.888, 3.041, 2.066, 0.054, -0.25, 0.38, 0.13, -0.25, 0.39, 0.10, 0.033, 0.113, -9.684, 0.546, -0.235, -9.667
42.24201359, -83.56568620, 186.211, 2851.665, 5.03, 0.00, -0.18, 5.03, 150.952, 3.087, 2.150, -0.019, -0.01, 0.92, 0.59, -0.04, 0.94, 0.55, 0.014, -0.011, -9.937, 0.549, -0.383, -9.915
42.24200562, -83.56568049, 186.258, 2852.673, 5.05, 0.01, -0.19, 5.05, 151.020, 3.086, 2.215, 0.067, 0.27, 0.28, 0.10, 0.27, 0.29, 0.11, 0.051, 0.157, -9.768, 0.577, -0.220, -9.750
42.24199768, -83.56567477, 186.289, 2853.683, 5.05, -0.01, -0.18, 5.05, 151.081, 3.110, 2.282, -0.108, -0.78, 0.68, 0.66, -0.82, 0.71, 0.59, 0.055, -0.012, -9.865, 0.590, -0.404, -9.839
42.24198975, -83.56566903, 186.308, 2854.696, 5.07, 0.00, -0.17, 5.07, 151.144, 3.141, 2.312, -0.027, 0.02, 0.54, -0.31, 0.03, 0.53, -0.33, 0.040, 0.163, -9.783, 0.576, -0.231, -9.765
42.24198180, -83.56566334, 186.324, 2855.710, 5.08, -0.01, -0.18, 5.08, 151.217, 3.202, 2.394, -0.133, -0.10, 0.78, 0.60, -0.13, 0.81, 0.56, 0.111, 0.068, -10.083, 0.674, -0.353, -10.055
42.24197382, -83.56565761, 186.349, 2856.727, 5.07, -0.02, -0.19, 5.07, 151.290, 3.198, 2.451, -0.194, 0.45, 0.44, 0.55, 0.42, 0.46, 0.55, -0.163, 0.033, -9.160, 0.348, -0.359, -9.148
42.24196586, -83.56565185, 186.376, 2857.738, 5.03, -0.01, -0.20, 5.03, 151.350, 3.272, 2.553, -0.160, 0.37, 0.27, 0.18, 0.36, 0.28, 0.19, -0.361, -0.167, -10.100, 0.216, -0.617, -10.087
42.24195796, -83.56564611, 186.405, 2858.741, 4.99, -0.01, -0.18, 4.99, 151.462, 3.320, 2.588, -0.168, 0.66, -0.32, 0.74, 0.62, -0.29, 0.79, -0.218, 0.379, -9.488, 0.331, -0.050, -9.492
42.24195013, -83.56564044, 186.437, 2859.734, 4.94, -0.01, -0.18, 4.94, 151.554, 3.315, 2.737, -0.159, 0.92, -0.17, 0.29, 0.90, -0.16, 0.35, -0.291, 0.040, -9.351, 0.250, -0.407, -9.343
42.24194236, -83.56563479, 186.472, 2860.717, 4.90, -0.02, -0.20, 4.90, 151.668, 3.283, 2.784, -0.265, 0.59, -0.09, 0.37, 0.57, -0.07, 0.41, -0.240, 0.101, -9.228, 0.289, -0.347, -9.220
42.24193464, -83.56562918, 186.505, 2861.695, 4.87, -0.02, -0.19, 4.87, 151.767, 3.296, 2.789, -0.289, 0.38, -0.33, 0.30, 0.36, -0.31, 0.34, -0.165, 0.012, -9.690, 0.392, -0.459, -9.672
42.24192695, -83.56562361, 186.540, 2862.666, 4.84, -0.03, -0.20, 4.84, 151.894, 3.323, 2.769, -0.344, -0.39, -0.16, 0.55, -0.42, -0.13, 0.54, -0.058, 0.073, -9.976, 0.521, -0.409, -9.955
42.24191928, -83.56561808, 186.577, 2863.632, 4.82, -0.02, -0.18, 4.82, 151.963, 3.327, 2.799, -0.239, 0.26, -0.70, -0.14, 0.27, -0.70, -0.09, -0.189, -0.163, -9.553, 0.366, -0.629, -9.529
42.24191165, -83.56561255, 186.613, 2864.594, 4.80, -0.04, -0.19, 4.80, 152.058, 3.318, 2.749, -0.455, 0.16, -0.01, 0.76, 0.12, 0.03, 0.76, -0.082, 0.150, -9.852, 0.488, -0.323, -9.836
42.24190404, -83.56560708, 186.654, 2865.552, 4.78, -0.02, -0.19, 4.78, 152.106, 3.231, 2.793, -0.290, -0.29, 0.45, 0.14, -0.30, 0.46, 0.10, -0.109, -0.096, -9.718, 0.439, -0.569, -9.693
42.24189646, -83.56560163, 186.688, 2866.506, 4.76, -0.03, -0.18, 4.76, 152.170, 3.314, 2.792, -0.360, -0.81, 0.70, -0.35, -0.79, 0.68, -0.43, 0.040, 0.017, -9.715, 0.602, -0.455, -9.685
42.24188890, -83.56559621, 186.726, 2867.457, 4.74, -0.02, -0.18, 4.74, 152.233, 3.352, 2.803, -0.276, 0.61, 1.07, -0.01, 0.61, 1.07, -0.03, -0.132, 0.165, -10.013, 0.453, -0.324, -10.000
42.24188135, -83.56559084, 186.763, 2868.405, 4.74, -0.03, -0.19, 4.74, 152.268, 3.356, 2.911, -0.352, 0.31, 0.15, 0.15, 0.30, 0.16, 0.16, 0.014, -0.216, -9.770, 0.586, -0.711, -9.729
42.24187384, -83.56558546, 186.804, 2869.350, 4.72, -0.03, -0.19, 4.72, 152.353, 3.288, 2.832, -0.420, -0.65, 0.61, 0.25, -0.66, 0.62, 0.18, 0.042, 0.088, -8.921, 0.554, -0.352, -8.897
42.24186634, -83.56558012, 186.840, 2870.293, 4.71, -0.03, -0.19, 4.71, 152.376, 3.343, 2.841, -0.383, -0.69, -0.37, 0.37, -0.71, -0.35, 0.34, 0.064, 0.170, -9.922, 0.642, -0.321, -9.897
42.24185884, -83.56557481, 186.877, 2871.233, 4.70, -0.04, -0.18, 4.70, 152.436, 3.378, 2.907, -0.468, -0.27, -0.69, -0.16, -0.26, -0.70, -0.14, 0.011, -0.192, -10.082, 0.605, -0.702, -10.041
42.24185136, -83.56556951, 186.916, 2872.172, 4.69, -0.02, -0.18, 4.69, 152.479, 3.384, 2.954, -0.297, 0.87, 0.00, 0.60, 0.84, 0.04, 0.65, -0.036, 0.001, -9.608, 0.531, -0.494, -9.580
42.24184390, -83.56556421, 186.953, 2873.109, 4.67, -0.04, -0.21, 4.67, 152.527, 3.450, 2.948, -0.506, 0.59, 0.14, 0.06, 0.59, 0.14, 0.09, -0.173, 0.266, -10.107, 0.436, -0.253, -10.100
42.24183644, -83.56555895, 186.992, 2874.043, 4.67, -0.03, -0.20, 4.67, 152.559, 3.530, 2.993, -0.425, 0.00, 0.04, 0.43, -0.03, 0.06, 0.43, -0.008, -0.087, -9.357, 0.568, -0.574, -9.322
42.24182899, -83.56555370, 187.030, 2874.977, 4.66, -0.03, -0.19, 4.66, 152.609, 3.496, 3.080, -0.355, -0.11, -0.77, 0.44, -0.14, -0.75, 0.48, -0.074, -0.438, -9.352, 0.497, -0.939, -9.302
42.24182156, -83.56554845, 187.073, 2875.909, 4.66, -0.03, -0.21, 4.66, 152.665, 3.449, 3.048, -0.334, -0.87, 0.24, -0.15, -0.86, 0.23, -0.22, 0.123, 0.047, -9.110, 0.671, -0.436, -9.076
42.24181413, -83.56554324, 187.114, 2876.839, 4.65, -0.01, -0.20, 4.65, 152.694, 3.418, 3.141, -0.139, 1.33, -0.59, 0.46, 1.30, -0.56, 0.57, -0.091, 0.128, -9.360, 0.467, -0.385, -9.342
42.24180669, -83.56553805, 187.153, 2877.768, 4.65, -0.03, -0.21, 4.65, 152.750, 3.414, 3.248, -0.326, 0.21, -0.15, 0.02, 0.21, -0.15, 0.04, -0.037, 0.162, -9.486, 0.528, -0.375, -9.465
42.24179926, -83.56553285, 187.192, 2878.697, 4.64, -0.03, -0.18, 4.64, 152.787, 3.346, 3.264, -0.431, 0.38, -0.40, 0.35, 0.36, -0.38, 0.39, -0.130, 0.077, -9.527, 0.427, -0.465, -9.507
42.24179184, -83.56552765, 187.234, 2879.625, 4.64, -0.03, -0.20, 4.64, 152.825, 3.221, 3.208, -0.313, 0.10, -0.53, 0.12, 0.09, -0.52, 0.16, -0.018, 0.235, -9.511, 0.516, -0.297, -9.496
42.24178440, -83.56552247, 187.271, 2880.554, 4.64, -0.03, -0.18, 4.64, 152.870, 3.191, 3.194, -0.375, -0.11, -0.14, 0.17, -0.12, -0.13, 0.18, -0.054, -0.002, -9.596, 0.480, -0.536, -9.569
