Latitude (deg), Longitude (deg), Altitude (m), Distance horizontal (m), Velocity forward (m/s), Velocity lateral (m/s), Velocity down (m/s), Speed horizontal (m/s), Heading (deg), Pitch (deg), Roll (deg), Slip angle (deg), Angular rate forward (deg/s), Angular rate lateral (deg/s), Angular rate down (deg/s), Angular rate Xv (deg/s), Angular rate Yv (deg/s), Angular rate Zv (deg/s), Acceleration forward (m/s²), Acceleration lateral (m/s²), Acceleration down (m/s²), Acceleration Xv (m/s²), Acceleration Yv (m/s²), Acceleration Zv (m/s²)
42.23858351, -83.55772564, 186.019, 0.000, -0.01, -0.01, 0.00, 0.01, 82.971, 0.647, 1.661, 0.000, 0.48, -0.14, -0.15, 0.48, -0.15, -0.14, 0.052, 0.037, -9.693, 0.162, -0.244, -9.689
42.23858352, -83.55772565, 186.020, 0.003, -0.01, -0.01, 0.00, 0.02, 82.984, 0.663, 1.659, 0.000, -0.12, 0.25, 0.25, -0.13, 0.26, 0.24, -0.042, -0.022, -10.090, 0.075, -0.314, -10.085
42.23858353, -83.55772566, 186.020, 0.006, -0.01, -0.01, 0.00, 0.01, 82.985, 0.654, 1.666, 0.000, 0.39, -0.25, 0.08, 0.39, -0.25, 0.09, -0.047, -0.040, -9.671, 0.063, -0.321, -9.665
42.23858353, -83.55772567, 186.020, 0.009, -0.01, -0.01, 0.00, 0.01, 82.988, 0.658, 1.663, 0.000, 0.18, 0.90, -0.03, 0.18, 0.90, -0.06, 0.052, 0.023, -9.663, 0.163, -0.258, -9.658
42.23858354, -83.55772564, 186.020, 0.012, 0.03, -0.01, 0.00, 0.04, 82.994, 0.694, 1.660, 0.000, -0.06, 0.70, 0.23, -0.06, 0.71, 0.21, 0.391, 0.031, -10.303, 0.515, -0.267, -10.294
42.23858355, -83.55772545, 186.019, 0.026, 0.10, -0.01, 0.00, 0.10, 83.007, 0.699, 1.672, -4.972, -0.28, 1.21, 0.25, -0.28, 1.22, 0.21, 0.246, -0.095, -9.876, 0.367, -0.383, -9.866
42.23858358, -83.55772510, 186.019, 0.054, 0.17, -0.01, 0.00, 0.17, 83.008, 0.693, 1.664, -2.543, -0.01, -0.36, 0.55, -0.02, -0.34, 0.56, 0.390, 0.060, -9.422, 0.504, -0.214, -9.414
42.23858361, -83.55772460, 186.019, 0.094, 0.24, -0.01, 0.00, 0.24, 83.007, 0.708, 1.676, -1.554, 0.24, 0.49, 0.18, 0.23, 0.50, 0.16, 0.424, 0.051, -10.107, 0.549, -0.244, -10.099
42.23858367, -83.55772390, 186.018, 0.150, 0.34, -0.01, 0.01, 0.34, 83.019, 0.727, 1.671, -0.978, -0.32, 0.55, -0.25, -0.32, 0.54, -0.27, 0.531, -0.003, -9.968, 0.658, -0.294, -9.956
42.23858375, -83.55772291, 186.015, 0.230, 0.47, -0.01, 0.01, 0.47, 83.022, 0.764, 1.677, -0.692, -0.09, 0.35, 0.31, -0.09, 0.36, 0.30, 0.810, -0.033, -9.838, 0.941, -0.320, -9.821
42.23858387, -83.55772152, 186.011, 0.344, 0.68, 0.00, 0.03, 0.68, 83.012, 0.869, 1.680, -0.366, -0.01, 1.16, 0.19, -0.01, 1.17, 0.16, 1.236, -0.013, -9.833, 1.386, -0.301, -9.809
42.23858404, -83.55771953, 186.006, 0.508, 0.96, 0.00, 0.02, 0.96, 83.001, 0.950, 1.693, -0.181, 0.15, 0.67, 0.39, 0.15, 0.68, 0.37, 1.364, -0.004, -9.817, 1.526, -0.293, -9.789
42.23858428, -83.55771684, 186.002, 0.729, 1.25, 0.00, 0.01, 1.25, 83.007, 0.984, 1.704, -0.040, 0.06, 0.33, 0.37, 0.05, 0.34, 0.36, 1.250, 0.001, -9.872, 1.419, -0.292, -9.845
42.23858456, -83.55771354, 186.000, 1.001, 1.46, 0.00, 0.01, 1.46, 83.014, 0.934, 1.718, 0.084, 0.02, 0.14, -0.15, 0.02, 0.14, -0.15, 0.963, 0.003, -9.880, 1.124, -0.293, -9.859
42.23858489, -83.55770982, 185.998, 1.310, 1.61, 0.00, 0.01, 1.61, 83.017, 0.882, 1.704, -0.014, -0.32, -0.30, 0.23, -0.33, -0.29, 0.24, 0.541, -0.004, -9.682, 0.690, -0.291, -9.668
42.23858524, -83.55770579, 185.996, 1.642, 1.71, 0.00, 0.01, 1.71, 83.021, 0.847, 1.688, 0.147, -0.12, 0.54, 0.06, -0.12, 0.54, 0.04, 0.429, -0.002, -9.814, 0.574, -0.291, -9.802
42.23858560, -83.55770157, 185.993, 1.992, 1.79, 0.01, 0.02, 1.79, 83.008, 0.802, 1.694, 0.232, 0.10, 0.13, 0.24, 0.09, 0.14, 0.24, 0.363, 0.020, -9.772, 0.500, -0.269, -9.762
42.23858598, -83.55769717, 185.990, 2.358, 1.87, 0.01, 0.01, 1.87, 82.993, 0.791, 1.715, 0.262, 0.09, 0.52, -0.13, 0.10, 0.52, -0.15, 0.526, -0.056, -9.704, 0.660, -0.346, -9.690
42.23858639, -83.55769253, 185.986, 2.742, 1.98, 0.00, 0.03, 1.98, 82.989, 0.834, 1.699, 0.144, -0.26, 0.03, -0.09, -0.25, 0.03, -0.09, 0.639, 0.011, -9.595, 0.779, -0.274, -9.581
42.23858682, -83.55768759, 185.982, 3.153, 2.12, 0.01, 0.03, 2.12, 82.972, 0.822, 1.708, 0.340, 0.04, 0.08, 0.00, 0.04, 0.08, 0.00, 0.640, 0.035, -9.753, 0.780, -0.255, -9.740
42.23858729, -83.55768230, 185.979, 3.591, 2.27, 0.01, 0.02, 2.27, 82.972, 0.827, 1.706, 0.182, -0.25, 0.43, 0.23, -0.26, 0.44, 0.21, 0.735, 0.020, -9.607, 0.873, -0.266, -9.592
42.23858779, -83.55767664, 185.976, 4.061, 2.43, 0.02, 0.03, 2.43, 82.952, 0.800, 1.689, 0.363, 0.29, -0.65, -0.76, 0.30, -0.67, -0.73, 0.802, 0.063, -9.864, 0.940, -0.227, -9.849
42.23858831, -83.55767059, 185.973, 4.563, 2.59, 0.02, 0.02, 2.59, 82.944, 0.781, 1.724, 0.391, 0.45, 0.06, -0.32, 0.45, 0.06, -0.31, 0.873, 0.027, -9.701, 1.005, -0.264, -9.685
42.23858888, -83.55766417, 185.970, 5.097, 2.74, 0.01, 0.02, 2.74, 82.953, 0.774, 1.713, 0.207, -0.66, -0.21, 0.24, -0.66, -0.20, 0.24, 0.632, -0.014, -9.867, 0.765, -0.308, -9.853
42.23858948, -83.55765742, 185.967, 5.658, 2.86, 0.01, 0.03, 2.86, 82.948, 0.751, 1.675, 0.278, -0.06, -0.80, 0.03, -0.07, -0.80, 0.05, 0.668, 0.047, -9.653, 0.794, -0.235, -9.641
42.23859010, -83.55765042, 185.962, 6.240, 2.96, 0.02, 0.04, 2.96, 82.934, 0.734, 1.645, 0.417, -0.08, -0.16, 0.21, -0.08, -0.16, 0.21, 0.565, 0.042, -9.755, 0.690, -0.238, -9.744
42.23859074, -83.55764319, 185.957, 6.842, 3.05, 0.02, 0.03, 3.05, 82.935, 0.725, 1.699, 0.437, 0.62, 0.47, 0.06, 0.62, 0.47, 0.06, 0.373, -0.096, -9.559, 0.493, -0.380, -9.547
42.23859141, -83.55763577, 185.952, 7.460, 3.13, 0.02, 0.03, 3.13, 82.931, 0.751, 1.713, 0.440, 0.14, -0.59, -0.15, 0.14, -0.59, -0.13, 0.337, 0.120, -9.746, 0.465, -0.171, -9.740
42.23859210, -83.55762817, 185.948, 8.092, 3.20, 0.02, 0.02, 3.20, 82.931, 0.745, 1.683, 0.278, -0.14, -0.39, 0.28, -0.14, -0.38, 0.29, 0.428, 0.017, -9.368, 0.550, -0.258, -9.359
42.23859280, -83.55762039, 185.943, 8.741, 3.28, 0.03, 0.02, 3.28, 82.910, 0.733, 1.675, 0.532, 0.14, -0.15, -0.37, 0.15, -0.16, -0.37, 0.359, 0.043, -9.726, 0.484, -0.241, -9.718
42.23859351, -83.55761242, 185.937, 9.405, 3.36, 0.02, 0.03, 3.36, 82.913, 0.785, 1.703, 0.390, 0.13, 0.14, 0.08, 0.13, 0.14, 0.08, 0.410, 0.038, -9.918, 0.546, -0.257, -9.908
42.23859425, -83.55760426, 185.934, 10.084, 3.44, 0.02, 0.02, 3.44, 82.911, 0.803, 1.700, 0.289, -0.18, -0.86, -0.13, -0.18, -0.87, -0.10, 0.340, 0.021, -9.581, 0.474, -0.264, -9.571
42.23859501, -83.55759591, 185.929, 10.780, 3.52, 0.02, 0.02, 3.52, 82.919, 0.817, 1.696, 0.407, 0.24, -0.14, -0.18, 0.25, -0.15, -0.17, 0.443, 0.058, -10.195, 0.589, -0.244, -10.185
42.23859578, -83.55758738, 185.926, 11.490, 3.59, 0.02, 0.03, 3.59, 82.925, 0.858, 1.706, 0.277, 0.19, 0.88, -0.10, 0.19, 0.87, -0.12, 0.390, 0.010, -10.185, 0.542, -0.293, -10.174
42.23859658, -83.55757867, 185.923, 12.217, 3.67, 0.02, 0.02, 3.67, 82.926, 0.838, 1.707, 0.258, 0.02, 0.48, 0.00, 0.02, 0.48, -0.01, 0.394, -0.082, -9.594, 0.534, -0.368, -9.580
42.23859739, -83.55756978, 185.920, 12.958, 3.74, 0.02, 0.01, 3.74, 82.934, 0.843, 1.703, 0.382, -0.22, -0.97, 0.20, -0.22, -0.96, 0.23, 0.462, 0.086, -10.112, 0.611, -0.215, -10.103
42.23859822, -83.55756073, 185.918, 13.713, 3.81, 0.01, 0.02, 3.81, 82.936, 0.889, 1.695, 0.205, 0.10, 0.63, 0.21, 0.10, 0.64, 0.19, 0.329, 0.057, -10.187, 0.488, -0.244, -10.178
42.23859907, -83.55755153, 185.915, 14.482, 3.88, 0.01, 0.03, 3.88, 82.939, 0.877, 1.633, 0.147, 0.06, -0.28, -0.41, 0.06, -0.29, -0.40, 0.347, -0.046, -9.824, 0.498, -0.326, -9.812
42.23859994, -83.55754217, 185.913, 15.265, 3.94, 0.02, 0.01, 3.94, 82.932, 0.822, 1.587, 0.258, 0.27, -0.79, -0.26, 0.27, -0.80, -0.23, 0.307, 0.028, -9.648, 0.445, -0.239, -9.639
42.23860081, -83.55753267, 185.911, 16.058, 3.99, 0.01, 0.01, 3.99, 82.938, 0.803, 1.579, 0.181, -0.29, -0.34, -0.12, -0.29, -0.34, -0.11, 0.198, -0.025, -9.838, 0.335, -0.296, -9.830
42.23860171, -83.55752305, 185.910, 16.861, 4.06, 0.01, 0.05, 4.06, 82.939, 0.768, 1.499, 0.104, -0.36, 0.87, -0.93, -0.35, 0.84, -0.96, 0.405, -0.060, -9.672, 0.534, -0.313, -9.661
42.23860261, -83.55751320, 185.906, 17.683, 4.16, 0.01, 0.01, 4.16, 82.934, 0.769, 1.484, 0.177, -0.23, -0.71, 0.03, -0.23, -0.71, 0.04, 0.432, 0.051, -9.992, 0.566, -0.208, -9.984
42.23860355, -83.55750312, 185.903, 18.524, 4.25, 0.01, 0.03, 4.25, 82.953, 0.751, 1.447, 0.114, -0.41, 0.19, -0.15, -0.41, 0.18, -0.16, 0.570, -0.136, -9.820, 0.698, -0.384, -9.805
42.23860451, -83.55749286, 185.901, 19.381, 4.30, 0.01, 0.02, 4.30, 82.944, 0.707, 1.375, 0.117, 0.36, 0.16, -0.23, 0.36, 0.16, -0.23, 0.160, 0.029, -9.817, 0.281, -0.206, -9.812
42.23860547, -83.55748253, 185.897, 20.244, 4.33, 0.01, 0.04, 4.33, 82.959, 0.708, 1.373, 0.101, -0.10, 0.09, -0.36, -0.09, 0.08, -0.37, 0.051, 0.101, -9.611, 0.170, -0.130, -9.610
42.23860644, -83.55747211, 185.894, 21.112, 4.36, 0.00, 0.02, 4.36, 82.960, 0.703, 1.347, 0.029, 0.17, -0.50, -0.17, 0.17, -0.51, -0.15, 0.179, 0.034, -9.830, 0.299, -0.197, -9.825
42.23860741, -83.55746163, 185.891, 21.986, 4.38, 0.00, 0.03, 4.38, 82.973, 0.713, 1.298, 0.051, -0.40, -0.33, 0.09, -0.40, -0.32, 0.09, 0.107, -0.011, -9.935, 0.231, -0.236, -9.930
42.23860838, -83.55745107, 185.889, 22.866, 4.41, 0.00, 0.02, 4.41, 82.978, 0.705, 1.269, 0.016, -0.12, -0.93, 0.04, -0.12, -0.93, 0.06, 0.046, -0.077, -9.941, 0.169, -0.298, -9.935
42.23860935, -83.55744045, 185.887, 23.751, 4.44, 0.01, 0.01, 4.44, 82.975, 0.708, 1.231, 0.120, -0.09, 0.19, 0.27, -0.09, 0.20, 0.27, 0.129, 0.077, -9.889, 0.251, -0.136, -9.886
42.23861034, -83.55742977, 185.884, 24.641, 4.46, 0.00, 0.02, 4.46, 82.968, 0.732, 1.234, 0.047, 0.34, 0.14, -0.59, 0.35, 0.13, -0.59, 0.180, 0.016, -10.076, 0.309, -0.201, -10.071
42.23861133, -83.55741902, 185.880, 25.536, 4.49, 0.00, 0.03, 4.49, 82.965, 0.750, 1.180, 0.050, 0.31, -0.13, 0.09, 0.31, -0.12, 0.09, 0.140, 0.046, -10.037, 0.271, -0.161, -10.034
42.23861232, -83.55740820, 185.876, 26.438, 4.52, 0.00, 0.01, 4.52, 82.970, 0.766, 1.135, -0.031, -0.29, 0.07, 0.45, -0.29, 0.08, 0.44, 0.198, 0.011, -9.887, 0.330, -0.185, -9.882
42.23861332, -83.55739731, 185.873, 27.345, 4.55, 0.00, 0.02, 4.55, 82.955, 0.771, 1.100, -0.014, 0.33, -0.87, 0.48, 0.33, -0.86, 0.51, 0.056, 0.013, -9.563, 0.185, -0.170, -9.560
42.23861433, -83.55738634, 185.869, 28.258, 4.58, 0.00, 0.02, 4.58, 82.920, 0.755, 1.076, 0.014, -0.24, -0.75, 0.21, -0.24, -0.75, 0.22, 0.159, -0.075, -9.418, 0.284, -0.252, -9.412
42.23861536, -83.55737530, 185.865, 29.177, 4.62, 0.00, 0.01, 4.62, 82.892, 0.756, 1.014, -0.015, -0.96, -0.51, -0.40, -0.96, -0.52, -0.40, 0.214, -0.023, -9.456, 0.339, -0.190, -9.451
42.23861639, -83.55736417, 185.861, 30.104, 4.65, 0.00, 0.02, 4.65, 82.874, 0.741, 0.948, 0.057, -0.31, -0.18, 0.01, -0.31, -0.18, 0.01, 0.159, -0.059, -9.845, 0.287, -0.221, -9.839
42.23861743, -83.55735294, 185.856, 31.040, 4.70, 0.00, 0.02, 4.70, 82.856, 0.784, 0.923, 0.019, -0.64, 0.15, -0.13, -0.64, 0.14, -0.14, 0.277, -0.038, -10.168, 0.416, -0.202, -10.161
42.23861849, -83.55734160, 185.850, 31.984, 4.74, 0.00, 0.02, 4.74, 82.832, 0.822, 0.868, 0.044, -0.39, 0.48, -0.20, -0.38, 0.47, -0.22, 0.160, 0.093, -10.053, 0.304, -0.059, -10.050
42.23861955, -83.55733017, 185.845, 32.936, 4.78, 0.00, 0.01, 4.78, 82.833, 0.866, 0.855, -0.028, 0.21, -0.40, 0.48, 0.21, -0.39, 0.49, 0.163, -0.046, -9.668, 0.309, -0.191, -9.663
42.23862062, -83.55731861, 185.841, 33.897, 4.83, 0.01, 0.02, 4.83, 82.827, 0.877, 0.816, 0.088, 0.42, -0.48, 0.42, 0.42, -0.47, 0.44, 0.317, 0.099, -9.548, 0.463, -0.037, -9.543
42.23862169, -83.55730695, 185.838, 34.866, 4.87, 0.00, 0.01, 4.87, 82.821, 0.905, 0.828, 0.036, -0.18, 0.87, 0.12, -0.18, 0.87, 0.10, 0.154, 0.039, -10.168, 0.314, -0.108, -10.164
42.23862279, -83.55729521, 185.834, 35.843, 4.90, 0.00, 0.02, 4.90, 82.830, 0.902, 0.771, 0.012, -0.13, -0.94, 0.15, -0.14, -0.94, 0.16, 0.144, 0.063, -9.772, 0.298, -0.069, -9.768
42.23862388, -83.55728338, 185.831, 36.826, 4.92, 0.00, 0.01, 4.92, 82.828, 0.893, 0.740, 0.026, 0.07, -0.22, -0.13, 0.08, -0.22, -0.12, 0.034, -0.067, -9.837, 0.187, -0.194, -9.833
42.23862498, -83.55727153, 185.829, 37.811, 4.93, 0.00, 0.01, 4.93, 82.852, 0.899, 0.677, -0.040, -0.62, 0.60, 0.26, -0.62, 0.60, 0.24, 0.049, -0.115, -9.596, 0.199, -0.229, -9.593
42.23862607, -83.55725968, 185.826, 38.795, 4.92, 0.00, 0.01, 4.92, 82.861, 0.890, 0.609, 0.034, -0.38, -0.12, -0.09, -0.38, -0.12, -0.09, -0.173, -0.014, -9.761, -0.021, -0.118, -9.762
42.23862716, -83.55724787, 185.825, 39.777, 4.90, 0.01, 0.00, 4.90, 82.895, 0.898, 0.586, 0.082, -0.16, 0.17, 0.33, -0.16, 0.17, 0.33, 0.012, -0.004, -9.585, 0.162, -0.102, -9.583
42.23862823, -83.55723610, 185.823, 40.755, 4.87, 0.00, 0.01, 4.87, 82.905, 0.882, 0.553, 0.056, -0.17, 0.02, -0.35, -0.16, 0.02, -0.35, -0.168, -0.091, -9.670, -0.020, -0.184, -9.670
42.23862929, -83.55722441, 185.822, 41.727, 4.85, 0.01, 0.00, 4.85, 82.926, 0.879, 0.527, 0.099, -0.35, -0.89, 0.42, -0.35, -0.89, 0.42, -0.150, -0.012, -9.328, -0.007, -0.098, -9.329
42.23863034, -83.55721277, 185.820, 42.693, 4.81, 0.02, 0.00, 4.81, 82.930, 0.876, 0.563, 0.190, 0.12, 0.28, -0.12, 0.12, 0.28, -0.12, -0.169, 0.072, -9.962, -0.017, -0.026, -9.964
42.23863140, -83.55720122, 185.818, 43.653, 4.79, 0.00, 0.01, 4.79, 82.953, 0.898, 0.547, -0.002, -0.45, -0.49, 0.03, -0.45, -0.49, 0.03, -0.151, -0.009, -9.732, 0.002, -0.101, -9.733
42.23863245, -83.55718975, 185.815, 44.606, 4.75, 0.01, 0.01, 4.75, 82.963, 0.905, 0.513, 0.135, -0.04, 0.25, 0.26, -0.05, 0.25, 0.26, -0.230, 0.122, -10.223, -0.069, 0.030, -10.226
42.23863348, -83.55717832, 185.814, 45.555, 4.73, 0.00, 0.00, 4.73, 82.962, 0.895, 0.569, 0.043, 0.06, 0.10, 0.18, 0.06, 0.10, 0.18, -0.099, -0.097, -9.512, 0.050, -0.192, -9.511
42.23863453, -83.55716696, 185.812, 46.499, 4.71, 0.00, 0.01, 4.71, 82.994, 0.888, 0.542, 0.049, 0.69, -0.40, 0.03, 0.69, -0.40, 0.04, -0.156, 0.180, -10.061, -0.001, 0.085, -10.063
42.23863555, -83.55715563, 185.810, 47.440, 4.70, 0.00, 0.01, 4.70, 82.997, 0.861, 0.577, 0.012, 0.22, -0.03, 0.12, 0.22, -0.03, 0.12, -0.070, -0.101, -9.799, 0.077, -0.200, -9.797
42.23863658, -83.55714431, 185.808, 48.380, 4.70, 0.00, 0.00, 4.70, 83.012, 0.878, 0.570, 0.018, 0.23, -0.67, 0.17, 0.23, -0.67, 0.18, 0.073, 0.014, -9.601, 0.220, -0.082, -9.599
42.23863760, -83.55713297, 185.805, 49.321, 4.70, 0.01, 0.02, 4.70, 82.999, 0.856, 0.635, 0.144, 0.46, -0.45, -0.59, 0.47, -0.46, -0.58, -0.058, -0.093, -9.390, 0.082, -0.198, -9.388
42.23863863, -83.55712165, 185.802, 50.261, 4.70, 0.00, 0.00, 4.70, 83.002, 0.877, 0.698, 0.036, 0.04, -0.19, -0.31, 0.05, -0.19, -0.30, -0.007, -0.009, -9.766, 0.143, -0.128, -9.764
42.23863965, -83.55711033, 185.799, 51.200, 4.70, 0.01, 0.01, 4.70, 82.991, 0.871, 0.710, 0.159, 0.07, -0.81, -0.32, 0.08, -0.81, -0.30, -0.108, 0.133, -9.574, 0.038, 0.015, -9.576
42.23864068, -83.55709901, 185.795, 52.139, 4.70, 0.00, 0.00, 4.70, 82.988, 0.920, 0.736, 0.015, 0.34, -0.43, -0.24, 0.34, -0.44, -0.23, 0.033, 0.106, -10.202, 0.196, -0.025, -10.200
42.23864171, -83.55708769, 185.796, 53.078, 4.69, 0.01, 0.00, 4.69, 82.967, 0.877, 0.734, 0.128, 0.52, 0.41, 0.13, 0.52, 0.41, 0.14, -0.089, 0.017, -9.854, 0.062, -0.109, -9.854
42.23864274, -83.55707640, 185.794, 54.015, 4.68, 0.00, 0.01, 4.68, 82.971, 0.875, 0.718, 0.003, -0.39, -0.31, 0.23, -0.40, -0.30, 0.23, -0.037, 0.072, -9.754, 0.112, -0.050, -9.754
42.23864377, -83.55706512, 185.793, 54.951, 4.68, 0.00, 0.01, 4.68, 82.961, 0.854, 0.650, 0.011, -0.43, 0.10, 0.67, -0.44, 0.11, 0.66, -0.112, -0.027, -9.649, 0.032, -0.136, -9.649
42.23864480, -83.55705385, 185.792, 55.886, 4.67, 0.00, 0.01, 4.67, 82.967, 0.874, 0.610, 0.052, -0.05, -0.69, 0.38, -0.05, -0.69, 0.38, 0.055, -0.016, -10.038, 0.208, -0.123, -10.035
42.23864583, -83.55704260, 185.790, 56.819, 4.66, 0.00, 0.01, 4.66, 82.976, 0.954, 0.575, 0.013, -0.43, 0.04, -0.30, -0.43, 0.04, -0.30, -0.105, 0.029, -9.950, 0.060, -0.071, -9.950
42.23864686, -83.55703137, 185.790, 57.751, 4.66, 0.01, 0.01, 4.66, 82.981, 1.009, 0.563, 0.136, 0.15, 0.20, -0.34, 0.16, 0.19, -0.34, -0.014, -0.143, -9.642, 0.156, -0.238, -9.639
42.23864790, -83.55702017, 185.790, 58.682, 4.65, 0.00, -0.01, 4.65, 83.000, 1.048, 0.512, 0.034, -0.58, 0.11, -0.40, -0.57, 0.11, -0.41, -0.110, 0.083, -10.048, 0.074, -0.006, -10.049
42.23864892, -83.55700900, 185.790, 59.610, 4.64, 0.01, -0.02, 4.64, 83.013, 1.085, 0.521, 0.171, 0.39, -0.08, -0.34, 0.39, -0.08, -0.33, -0.075, 0.030, -10.035, 0.115, -0.062, -10.035
42.23864994, -83.55699785, 185.792, 60.536, 4.62, 0.00, 0.00, 4.62, 83.034, 1.078, 0.514, 0.058, -0.20, 0.37, 0.14, -0.21, 0.37, 0.13, -0.097, 0.101, -9.775, 0.087, 0.013, -9.776
42.23865097, -83.55698676, 185.790, 61.459, 4.61, 0.01, -0.01, 4.61, 83.036, 1.132, 0.444, 0.113, -0.14, 0.48, -0.17, -0.14, 0.48, -0.18, -0.114, 0.251, -10.453, 0.093, 0.170, -10.455
42.23865197, -83.55697567, 185.793, 62.379, 4.60, 0.00, 0.00, 4.60, 83.056, 1.062, 0.455, 0.015, 0.37, -0.69, 0.35, 0.36, -0.69, 0.37, 0.015, -0.038, -9.465, 0.191, -0.113, -9.462
42.23865297, -83.55696461, 185.793, 63.297, 4.58, 0.01, -0.01, 4.58, 83.075, 1.078, 0.421, 0.096, 0.08, -0.12, 0.25, 0.08, -0.12, 0.25, -0.025, 0.062, -9.782, 0.159, -0.010, -9.781
42.23865395, -83.55695359, 185.794, 64.212, 4.57, 0.01, 0.00, 4.57, 83.083, 1.045, 0.414, 0.077, -0.72, -0.44, -0.05, -0.71, -0.44, -0.06, -0.171, -0.074, -9.836, 0.008, -0.145, -9.837
42.23865494, -83.55694262, 185.793, 65.125, 4.56, 0.01, -0.01, 4.56, 83.086, 1.082, 0.380, 0.069, -0.08, -0.03, -0.22, -0.08, -0.04, -0.23, -0.045, -0.108, -9.770, 0.140, -0.172, -9.768
42.23865591, -83.55693167, 185.792, 66.035, 4.54, 0.01, -0.01, 4.54, 83.075, 1.098, 0.368, 0.160, -0.17, 0.57, 0.33, -0.18, 0.57, 0.32, -0.056, -0.048, -9.793, 0.131, -0.110, -9.792
42.23865689, -83.55692077, 185.792, 66.941, 4.53, 0.01, -0.02, 4.53, 83.078, 1.113, 0.322, 0.117, -0.60, -0.05, -0.14, -0.59, -0.06, -0.15, -0.155, 0.071, -9.831, 0.036, 0.015, -9.832
42.23865786, -83.55690989, 185.792, 67.845, 4.51, 0.02, -0.01, 4.51, 83.062, 1.109, 0.298, 0.204, 0.33, -0.57, 0.01, 0.33, -0.57, 0.02, -0.140, 0.190, -10.246, 0.058, 0.136, -10.248
42.23865883, -83.55689905, 185.793, 68.746, 4.50, 0.01, -0.01, 4.50, 83.037, 1.148, 0.320, 0.083, 0.36, 0.06, -0.31, 0.37, 0.06, -0.30, -0.046, -0.055, -9.511, 0.145, -0.108, -9.509
42.23865982, -83.55688825, 185.793, 69.644, 4.48, 0.01, -0.01, 4.48, 83.037, 1.144, 0.253, 0.116, -0.09, -0.19, 0.27, -0.10, -0.19, 0.27, -0.049, 0.054, -10.245, 0.155, 0.008, -10.245
42.23866079, -83.55687749, 185.794, 70.538, 4.46, 0.01, -0.01, 4.46, 83.008, 1.139, 0.246, 0.192, 0.15, -0.32, -0.03, 0.15, -0.32, -0.03, -0.234, -0.006, -9.968, -0.036, -0.048, -9.971
42.23866176, -83.55686679, 185.797, 71.428, 4.44, 0.01, -0.01, 4.44, 82.989, 1.155, 0.256, 0.132, -0.18, 0.06, 0.10, -0.19, 0.06, 0.10, -0.043, -0.040, -9.589, 0.151, -0.083, -9.588
42.23866274, -83.55685613, 185.797, 72.315, 4.43, 0.01, -0.01, 4.43, 82.973, 1.155, 0.218, 0.152, 0.08, 0.12, -0.26, 0.09, 0.12, -0.25, -0.143, -0.072, -9.699, 0.052, -0.108, -9.699
42.23866373, -83.55684552, 185.798, 73.199, 4.41, 0.01, 0.00, 4.41, 82.972, 1.179, 0.160, 0.088, -0.85, -0.60, -0.13, -0.85, -0.60, -0.15, -0.090, 0.127, -9.916, 0.114, 0.099, -9.916
42.23866471, -83.55683493, 185.801, 74.080, 4.40, 0.00, 0.00, 4.40, 82.938, 1.194, 0.109, 0.033, -0.07, 0.85, -0.19, -0.07, 0.85, -0.20, 0.013, -0.015, -9.898, 0.219, -0.034, -9.896
42.23866569, -83.55682440, 185.803, 74.957, 4.38, 0.01, -0.01, 4.38, 82.914, 1.229, 0.081, 0.092, 0.16, 1.03, -0.24, 0.17, 1.03, -0.23, -0.080, -0.006, -10.109, 0.137, -0.020, -10.108
42.23866667, -83.55681391, 185.805, 75.831, 4.36, 0.00, -0.02, 4.36, 82.885, 1.265, 0.046, 0.057, -0.80, 0.01, 0.11, -0.80, 0.01, 0.09, -0.118, 0.022, -9.582, 0.094, 0.014, -9.582
42.23866765, -83.55680346, 185.809, 76.701, 4.34, 0.01, -0.02, 4.34, 82.844, 1.287, 0.018, 0.073, -0.28, -0.46, -0.47, -0.27, -0.46, -0.47, -0.047, -0.164, -9.932, 0.176, -0.167, -9.930
42.23866865, -83.55679306, 185.814, 77.567, 4.32, 0.00, -0.02, 4.32, 82.823, 1.285, -0.066, 0.013, -0.69, -0.88, 0.12, -0.70, -0.88, 0.11, -0.069, -0.023, -9.931, 0.154, -0.011, -9.930
42.23866963, -83.55678271, 185.818, 78.429, 4.30, 0.00, -0.02, 4.30, 82.777, 1.283, -0.147, 0.031, -0.45, -0.01, -0.21, -0.44, -0.01, -0.22, -0.067, 0.061, -9.979, 0.156, 0.086, -9.978
42.23867061, -83.55677241, 185.823, 79.287, 4.28, 0.00, -0.03, 4.28, 82.734, 1.288, -0.186, -0.047, -0.15, 0.42, 0.33, -0.16, 0.42, 0.33, -0.039, -0.073, -9.918, 0.184, -0.041, -9.917
42.23867159, -83.55676216, 185.828, 80.141, 4.26, 0.00, -0.02, 4.26, 82.690, 1.308, -0.236, 0.003, -0.45, 0.38, -0.29, -0.44, 0.38, -0.30, -0.201, -0.032, -9.739, 0.022, 0.008, -9.741
42.23867257, -83.55675196, 185.833, 80.991, 4.24, 0.00, -0.02, 4.24, 82.648, 1.315, -0.260, -0.008, -0.59, 0.12, -0.43, -0.58, 0.12, -0.44, -0.252, -0.188, -9.450, -0.035, -0.146, -9.454
